Label,Address,Latitude,Longitude
Subject,"1833 Corolla Ct, Deltona, FL 32738, USA",28.91642,-81.189971
Comparable No. 1,"1992 Canal Rd, Deltona, FL 32738 1.6 miles",28.91984,-81.18937
Comparable No. 1,"2912 Day Rd, Deltona, FL 32738 1.2 miles",28.9207136,-81.18544
Comparable No. 2,"2058 Keyes Ln, Deltona, FL 32738 1.4 miles",28.9210612,-81.187264
Comparable No. 3,"2811 Hayes Ln, Deltona, FL 32738 1.5 miles",28.9214701,-81.188765
Comparable No. 4,"2821 Fern Ln, Deltona, FL 32738 1.6 miles",28.9178323,-81.18927
Comparable No. 5,"2928 Estill St, Deltona, FL 32738 0.9 miles",28.916244,-81.184072
Comparable No. 6,"1781 Converse Ct, Deltona, FL 32738 0.7 miles",28.91435,-81.18627
Comparable No. 7,"1757 Howland Blvd, Deltona, FL 32738 0.9 miles",28.91392,-81.182205
Comparable No. 8,"1732 Cofield Dr, Deltona, FL 32738 0.5 miles",28.91234,-81.188603
Comparable No. 9,"2831 Summerfield St, Deltona, FL 32738 0.8 miles",28.9106,-81.1866534
Comparable No. 10,"2921 Nobleton St, Deltona, FL 32738 0.8 miles",28.912386,-81.183771
Comparable No. 12,"3132 Blaine Cir, Deltona, FL 32738, USA",28.911056,-81.178728
